01	Rhydon
02	Kangaskhan
03	NidoranM
04	Clefairy
05	Spearow
06	Voltorb
07	Nidoking
08	Slowbro
09	Ivysaur
0A	Exeggutor
0B	Lickitung
0C	Exeggcute
0D	Grimer
0E	Gengar
0F	NidoranF
10	Nidoqueen
11	Cubone
12	Rhyhorn
13	Lapras
14	Arcanine
15	Mew
16	Gyarados
17	Shellder
18	Tentacool
19	Gastly
1A	Scyther
1B	Staryu
1C	Blastoise
1D	Pinsir
1E	Tangela
21	Growlithe
22	Onix
23	Fearow
24	Pidgey
25	Slowpoke
26	Kadabra
27	Graveler
28	Chansey
29	Machoke
2A	Mr. Mime
2B	Hitmonlee
2C	Hitmonchan
2D	Arbok
2E	Parasect
2F	Psyduck
30	Drowzee
31	Golem
33	Magmar
35	Electabuzz
36	Magneton
37	Koffing
39	Mankey
3A	Seel
3B	Diglett
3C	Tauros
40	Farfetch'd
41	Venonat
42	Dragonite
46	Doduo
47	Poliwag
48	Jynx
49	Moltres
4A	Articuno
4B	Zapdos
4C	Ditto
4D	Meowth
4E	Krabby
52	Vulpix
53	Ninetales
54	Pikachu
55	Raichu
58	Dratini
59	Dragonair
5A	Kabuto
5B	Kabutops
5C	Horsea
5D	Seadra
60	Sandshrew
61	Sandslash
62	Omanyte
63	Omastar
64	Jigglypuff
65	Wigglytuff
66	Eevee
67	Flareon
68	Jolteon
69	Vaporeon
6A	Machop
6B	Zubat
6C	Ekans
6D	Paras
6E	Poliwhirl
6F	Poliwrath
70	Weedle
71	Kakuna
72	Beedrill
74	Dodrio
75	Primeape
76	Dugtrio
77	Venomoth
78	Dewgong
7B	Caterpie
7C	Metapod
7D	Butterfree
7E	Machamp
80	Golduck
81	Hypno
82	Golbat
83	Mewtwo
84	Snorlax
85	Magikarp
88	Muk
8A	Kingler
8B	Cloyster
8D	Electrode
8E	Clefable
8F	Weezing
90	Persian
91	Marowak
93	Haunter
94	Abra
95	Alakazam
96	Pidgeotto
97	Pidgeot
98	Starmie
99	Bulbasaur
9A	Venusaur
9B	Tentacruel
9D	Goldeen
9E	Seaking
A3	Ponyta
A4	Rapidash
A5	Rattata
A6	Raticate
A7	Nidorino
A8	Nidorina
A9	Geodude
AA	Porygon
AB	Aerodactyl
AD	Magnemite
B0	Charmander
B1	Squirtle
B2	Charmeleon
B3	Wartortle
B4	Charizard
B9	Oddish
BA	Gloom
BB	Vileplume
BC	Bellsprout
BD	Weepinbell
BE	Victreebel
