1	Bulbasaur
2	Ivysaur
3	Venusaur
4	Charmander
5	Charmeleon
6	Charizard
7	Squirtle
8	Wartortle
9	Blastoise
a	Caterpie
b	Metapod
c	Butterfree
d	Weedle
e	Kakuna
f	Beedrill
10	Pidgey
11	Pidgeotto
12	Pidgeot
13	Rattata
14	Raticate
15	Spearow
16	Fearow
17	Ekans
18	Arbok
19	Pikachu
1a	Raichu
1b	Sandshrew
1c	Sandslash
1d	NidoranF
1e	Nidorina
1f	Nidoqueen
20	NidoranM
21	Nidorino
22	Nidoking
23	Clefairy
24	Clefable
25	Vulpix
26	Ninetales
27	Jigglypuff
28	Wigglytuff
29	Zubat
2a	Golbat
2b	Oddish
2c	Gloom
2d	Vileplume
2e	Paras
2f	Parasect
30	Venonat
31	Venomoth
32	Diglett
33	Dugtrio
34	Meowth
35	Persian
36	Psyduck
37	Golduck
38	Mankey
39	Primeape
3a	Growlithe
3b	Arcanine
3c	Poliwag
3d	Poliwhirl
3e	Poliwrath
3f	Abra
40	Kadabra
41	Alakazam
42	Machop
43	Machoke
44	Machamp
45	Bellsprout
46	Weepinbell
47	Victreebel
48	Tentacool
49	Tentacruel
4a	Geodude
4b	Graveler
4c	Golem
4d	Ponyta
4e	Rapidash
4f	Slowpoke
50	Slowbro
51	Magnemite
52	Magneton
53	Farfetch'd
54	Doduo
55	Dodrio
56	Seel
57	Dewgong
58	Grimer
59	Muk
5a	Shellder
5b	Cloyster
5c	Gastly
5d	Haunter
5e	Gengar
5f	Onix
60	Drowzee
61	Hypno
62	Krabby
63	Kingler
64	Voltorb
65	Electrode
66	Exeggcute
67	Exeggutor
68	Cubone
69	Marowak
6a	Hitmonlee
6b	Hitmonchan
6c	Lickitung
6d	Koffing
6e	Weezing
6f	Rhyhorn
70	Rhydon
71	Chansey
72	Tangela
73	Kangaskhan
74	Horsea
75	Seadra
76	Goldeen
77	Seaking
78	Staryu
79	Starmie
7a	Mr. Mime
7b	Scyther
7c	Jynx
7d	Electabuzz
7e	Magmar
7f	Pinsir
80	Tauros
81	Magikarp
82	Gyarados
83	Lapras
84	Ditto
85	Eevee
86	Vaporeon
87	Jolteon
88	Flareon
89	Porygon
8a	Omanyte
8b	Omastar
8c	Kabuto
8d	Kabutops
8e	Aerodactyl
8f	Snorlax
90	Articuno
91	Zapdos
92	Moltres
93	Dratini
94	Dragonair
95	Dragonite
96	Mewtwo
97	Mew
98	Chikorita
99	Bayleef
9a	Meganium
9b	Cyndaquil
9c	Quilava
9d	Typhlosion
9e	Totodile
9f	Croconaw
a0	Feraligatr
a1	Sentret
a2	Furret
a3	Hoothoot
a4	Noctowl
a5	Ledyba
a6	Ledian
a7	Spinarak
a8	Ariados
a9	Crobat
aa	Chinchou
ab	Lanturn
ac	Pichu
ad	Cleffa
ae	Igglybuff
af	Togepi
b0	Togetic
b1	Natu
b2	Xatu
b3	Mareep
b4	Flaaffy
b5	Ampharos
b6	Bellossom
b7	Marill
b8	Azumarill
b9	Sudowoodo
ba	Politoed
bb	Hoppip
bc	Skiploom
bd	Jumpluff
be	Aipom
bf	Sunkern
c0	Sunflora
c1	Yanma
c2	Wooper
c3	Quagsire
c4	Espeon
c5	Umbreon
c6	Murkrow
c7	Slowking
c8	Misdreavus
c9	Unown
ca	Wobbuffet
cb	Girafarig
cc	Pineco
cd	Forretress
ce	Dunsparce
cf	Gligar
d0	Steelix
d1	Snubbull
d2	Granbull
d3	Qwilfish
d4	Scizor
d5	Shuckle
d6	Heracross
d7	Sneasel
d8	Teddiursa
d9	Ursaring
da	Slugma
db	Magcargo
dc	Swinub
dd	Piloswine
de	Corsola
df	Remoraid
e0	Octillery
e1	Delibird
e2	Mantine
e3	Skarmory
e4	Houndour
e5	Houndoom
e6	Kingdra
e7	Phanpy
e8	Donphan
e9	Porygon2
ea	Stantler
eb	Smeargle
ec	Tyrogue
ed	Hitmontop
ee	Smoochum
ef	Elekid
f0	Magby
f1	Miltank
f2	Blissey
f3	Raikou
f4	Entei
f5	Suicune
f6	Larvitar
f7	Pupitar
f8	Tyranitar
f9	Lugia
fa	Ho-Oh
fb	Celebi
fc	Turtwig
fd	Grotle
fe	Torterra
ff	Chimchar
100	Monferno
101	Infernape
102	Piplup
103	Prinplup
104	Empoleon
105	Starly
106	Staravia
107	Staraptor
108	Bidoof
109	Bibarel
10a	Kricketot
10b	Kricketune
10c	Shinx
10d	Luxio
10e	Luxray
10f	Budew
110	Roserade
111	Cranidos
112	Rampardos
113	Shieldon
114	Bastiodon	
115	Treecko
116	Grovyle
117	Sceptile
118	Torchic
119	Combusken
11a	Blaziken
11b	Mudkip
11c	Marshtomp
11d	Swampert
11e	Poochyena
11f	Mightyena
120	Zigzagoon
121	Linoone
122	Wurmple
123	Silcoon
124	Beautifly
125	Cascoon
126	Dustox
127	Lotad
128	Lombre
129	Ludicolo
12a	Seedot
12b	Nuzleaf
12c	Shiftry
12d	Nincada
12e	Ninjask
12f	Shedinja
130	Taillow
131	Swellow
132	Shroomish
133	Breloom
134	Spinda
135	Wingull
136	Pelipper
137	Surskit
138	Masquerain
139	Wailmer
13a	Wailord
13b	Skitty
13c	Delcatty
13d	Kecleon
13e	Baltoy
13f	Claydol
140	Nosepass
141	Torkoal
142	Sableye
143	Barboach
144	Whiscash
145	Luvdisc
146	Corphish
147	Crawdaunt
148	Feebas
149	Milotic
14a	Carvanha
14b	Sharpedo
14c	Trapinch
14d	Vibrava
14e	Flygon
14f	Makuhita
150	Hariyama
151	Electrike
152	Manectric
153	Numel
154	Camerupt
155	Spheal
156	Sealeo
157	Walrein
158	Cacnea
159	Cacturne
15a	Snorunt
15b	Glalie
15c	Lunatone
15d	Solrock
15e	Azurill
15f	Spoink
160	Grumpig
161	Plusle
162	Minun
163	Mawile
164	Meditite
165	Medicham
166	Swablu
167	Altaria
168	Wynaut
169	Duskull
16a	Dusclops
16b	Roselia
16c	Slakoth
16d	Vigoroth
16e	Slaking
16f	Gulpin
170	Swalot
171	Tropius
172	Whismur
173	Loudred
174	Exploud
175	Clamperl
176	Huntail
177	Gorebyss
178	Absol
179	Shuppet
17a	Banette
17b	Seviper
17c	Zangoose
17d	Relicanth
17e	Aron
17f	Lairon
180	Aggron
181	Castform
182	Volbeat
183	Illumise
184	Lileep
185	Cradily
186	Anorith
187	Armaldo
188	Ralts
189	Kirlia
18a	Gardevoir
18b	Bagon
18c	Shelgon
18d	Salamence
18e	Beldum
18f	Metang
190	Metagross
191	Regirock
192	Regice
193	Registeel
194	Kyogre
195	Groudon
196	Rayquaza
197	Latias
198	Latios
199	Jirachi
19a	Deoxys
19b	Chimecho
19e	Mothim
19f	Combee
1a0	Vespiquen
1a1	Pachirisu
1a2	Buizel
1a3	Floatzel
1a8	Ambipom
1a9	Drifloon
1aa	Drifblim
1ab	Buneary
1ac	Lopunny
1ad	Mismagius
1ae	Honchkrow
1af	Glameow
1b0	Purugly
1b1	Chingling
1b2	Stunky
1b3	Skuntank
1b4	Bronzor
1b5	Bronzong
1b6	Bonsly
1b7	Mime Jr.
1b8	Happiny
1b9	Chatot
1ba	Spiritomb
1bb	Gible
1bc	Gabite
1bd	Garchomp
1be	Munchlax
1bf	Riolu
1c0	Lucario
1c1	Hippopotas
1c2	Hippowdon
1c3	Skorupi
1c4	Drapion
1c5	Croagunk
1c6	Toxicroak
1c7	Carnivine
1c8	Finneon
1c9	Lumineon
1ca	Mantyke
1cb	Snover
1cc	Abomasnow
1cd	Weavile
1ce	Magnezone
1cf	Lickilicky
1d0	Rhyperior
1d1	Tangrowth
1d2	Electivire
1d3	Magmortar
1d4	Togekiss
1d5	Yanmega
1d6	Leafeon
1d7	Glaceon
1d8	Gliscor
1d9	Mamoswine
1da	Porygon-Z
1db	Gallade
1dc	Probopass
1dd	Dusknoir
1de	Froslass
1e0	Uxie
1e1	Mesprit
1e2	Azelf
1e3	Dialga
1e4	Palkia
1e5	Heatran
1e6	Regigigas
1e8	Cresselia
1e9	Phione
1ea	Manaphy
1eb	Darkrai
1ee	Victini
1ef	Snivy
1f0	Servine
1f1	Serperior
1f2	Tepig
1f3	Pignite
1f4	Emboar
1f5	Oshawott
1f6	Dewott
1f7	Samurott
1f8	Patrat
1f9	Watchog
1fa	Lillipup
1fb	Herdier
1fc	Stoutland
1fd	Purrloin
1fe	Liepard
1ff	Pansage
200	Simisage
201	Pansear
202	Simisear
203	Panpour
204	Simipour
205	Munna
206	Musharna
207	Pidove
208	Tranquill
209	Unfezant
20a	Blitzle
20b	Zebstrika
20c	Roggenrola
20d	Boldore
20e	Gigalith
20f	Woobat
210	Swoobat
211	Drilbur
212	Excadrill
213	Audino
214	Timburr
215	Gurdurr
216	Conkeldurr
217	Tympole
218	Palpitoad
219	Seismitoad
21a	Throh
21b	Sawk
21c	Sewaddle
21d	Swadloon
21e	Leavanny
21f	Venipede
220	Whirlipede
221	Scolipede
222	Cottonee
223	Whimsicott
224	Petilil
225	Lilligant
227	Sandile
228	Krokorok
229	Krookodile
22c	Maractus
22d	Dwebble
22e	Crustle
22f	Scraggy
230	Scrafty
231	Sigilyph
