1	Bulbasaur
2	Ivysaur
3	Venusaur
4	Charmander
5	Charmeleon
6	Charizard
7	Squirtle
8	Wartortle
9	Blastoise
a	Caterpie
b	Metapod
c	Butterfree
d	Weedle
e	Kakuna
f	Beedrill
10	Pidgey
11	Pidgeotto
12	Pidgeot
13	Rattata
14	Raticate
15	Spearow
16	Fearow
17	Ekans
18	Arbok
19	Pikachu
1a	Raichu
1b	Sandshrew
1c	Sandslash
1d	NidoranF
1e	Nidorina
1f	Nidoqueen
20	NidoranM
21	Nidorino
22	Nidoking
23	Clefairy
24	Clefable
25	Vulpix
26	Ninetales
27	Jigglypuff
28	Wigglytuff
29	Zubat
2a	Golbat
2b	Oddish
2c	Gloom
2d	Vileplume
2e	Paras
2f	Parasect
30	Venonat
31	Venomoth
32	Diglett
33	Dugtrio
34	Meowth
35	Persian
36	Psyduck
37	Golduck
38	Mankey
39	Primeape
3a	Growlithe
3b	Arcanine
3c	Poliwag
3d	Poliwhirl
3e	Poliwrath
3f	Abra
40	Kadabra
41	Alakazam
42	Machop
43	Machoke
44	Machamp
45	Bellsprout
46	Weepinbell
47	Victreebel
48	Tentacool
49	Tentacruel
4a	Geodude
4b	Graveler
4c	Golem
4d	Ponyta
4e	Rapidash
4f	Slowpoke
50	Slowbro
51	Magnemite
52	Magneton
53	Farfetch'd
54	Doduo
55	Dodrio
56	Seel
57	Dewgong
58	Grimer
59	Muk
5a	Shellder
5b	Cloyster
5c	Gastly
5d	Haunter
5e	Gengar
5f	Onix
60	Drowzee
61	Hypno
62	Krabby
63	Kingler
64	Voltorb
65	Electrode
66	Exeggcute
67	Exeggutor
68	Cubone
69	Marowak
6a	Hitmonlee
6b	Hitmonchan
6c	Lickitung
6d	Koffing
6e	Weezing
6f	Rhyhorn
70	Rhydon
71	Chansey
72	Tangela
73	Kangaskhan
74	Horsea
75	Seadra
76	Goldeen
77	Seaking
78	Staryu
79	Starmie
7a	Mr. Mime
7b	Scyther
7c	Jynx
7d	Electabuzz
7e	Magmar
7f	Pinsir
80	Tauros
81	Magikarp
82	Gyarados
83	Lapras
84	Ditto
85	Eevee
86	Vaporeon
87	Jolteon
88	Flareon
89	Porygon
8a	Omanyte
8b	Omastar
8c	Kabuto
8d	Kabutops
8e	Aerodactyl
8f	Snorlax
90	Articuno
91	Zapdos
92	Moltres
93	Dratini
94	Dragonair
95	Dragonite
96	Mewtwo
97	Mew
98	Chikorita
99	Bayleef
9a	Meganium
9b	Cyndaquil
9c	Quilava
9d	Typhlosion
9e	Totodile
9f	Croconaw
a0	Feraligatr
a1	Sentret
a2	Furret
a3	Hoothoot
a4	Noctowl
a5	Ledyba
a6	Ledian
a7	Spinarak
a8	Ariados
a9	Crobat
aa	Chinchou
ab	Lanturn
ac	Pichu
ad	Cleffa
ae	Igglybuff
af	Togepi
b0	Togetic
b1	Natu
b2	Xatu
b3	Mareep
b4	Flaaffy
b5	Ampharos
b6	Bellossom
b7	Marill
b8	Azumarill
b9	Sudowoodo
ba	Politoed
bb	Hoppip
bc	Skiploom
bd	Jumpluff
be	Aipom
bf	Sunkern
c0	Sunflora
c1	Yanma
c2	Wooper
c3	Quagsire
c4	Espeon
c5	Umbreon
c6	Murkrow
c7	Slowking
c8	Misdreavus
c9	Unown
ca	Wobbuffet
cb	Girafarig
cc	Pineco
cd	Forretress
ce	Dunsparce
cf	Gligar
d0	Steelix
d1	Snubbull
d2	Granbull
d3	Qwilfish
d4	Scizor
d5	Shuckle
d6	Heracross
d7	Sneasel
d8	Teddiursa
d9	Ursaring
da	Slugma
db	Magcargo
dc	Swinub
dd	Piloswine
de	Corsola
df	Remoraid
e0	Octillery
e1	Delibird
e2	Mantine
e3	Skarmory
e4	Houndour
e5	Houndoom
e6	Kingdra
e7	Phanpy
e8	Donphan
e9	Porygon2
ea	Stantler
eb	Smeargle
ec	Tyrogue
ed	Hitmontop
ee	Smoochum
ef	Elekid
f0	Magby
f1	Miltank
f2	Blissey
f3	Raikou
f4	Entei
f5	Suicune
f6	Larvitar
f7	Pupitar
f8	Tyranitar
f9	Lugia
fa	Ho-Oh
fb	Celebi
115	Treecko
116	Grovyle
117	Sceptile
118	Torchic
119	Combusken
11a	Blaziken
11b	Mudkip
11c	Marshtomp
11d	Swampert
11e	Poochyena
11f	Mightyena
120	Zigzagoon
121	Linoone
122	Wurmple
123	Silcoon
124	Beautifly
125	Cascoon
126	Dustox
127	Lotad
128	Lombre
129	Ludicolo
12a	Seedot
12b	Nuzleaf
12c	Shiftry
12d	Nincada
12e	Ninjask
12f	Shedinja
130	Taillow
131	Swellow
132	Shroomish
133	Breloom
134	Spinda
135	Wingull
136	Pelipper
137	Surskit
138	Masquerain
139	Wailmer
13a	Wailord
13b	Skitty
13c	Delcatty
13d	Kecleon
13e	Baltoy
13f	Claydol
140	Nosepass
141	Torkoal
142	Sableye
143	Barboach
144	Whiscash
145	Luvdisc
146	Corphish
147	Crawdaunt
148	Feebas
149	Milotic
14a	Carvanha
14b	Sharpedo
14c	Trapinch
14d	Vibrava
14e	Flygon
14f	Makuhita
150	Hariyama
151	Electrike
152	Manectric
153	Numel
154	Camerupt
155	Spheal
156	Sealeo
157	Walrein
158	Cacnea
159	Cacturne
15a	Snorunt
15b	Glalie
15c	Lunatone
15d	Solrock
15e	Azurill
15f	Spoink
160	Grumpig
161	Plusle
162	Minun
163	Mawile
164	Meditite
165	Medicham
166	Swablu
167	Altaria
168	Wynaut
169	Duskull
16a	Dusclops
16b	Roselia
16c	Slakoth
16d	Vigoroth
16e	Slaking
16f	Gulpin
170	Swalot
171	Tropius
172	Whismur
173	Loudred
174	Exploud
175	Clamperl
176	Huntail
177	Gorebyss
178	Absol
179	Shuppet
17a	Banette
17b	Seviper
17c	Zangoose
17d	Relicanth
17e	Aron
17f	Lairon
180	Aggron
181	Castform
182	Volbeat
183	Illumise
184	Lileep
185	Cradily
186	Anorith
187	Armaldo
188	Ralts
189	Kirlia
18a	Gardevoir
18b	Bagon
18c	Shelgon
18d	Salamence
18e	Beldum
18f	Metang
190	Metagross
191	Regirock
192	Regice
193	Registeel
194	Kyogre
195	Groudon
196	Rayquaza
197	Latias
198	Latios
199	Jirachi
19a	Deoxys
19b	Chimecho
