001	Bulbasaur
002	Ivysaur
003	Venusaur
004	Charmander
005	Charmeleon
006	Charizard
007	Squirtle
008	Wartortle
009	Blastoise
00A	Caterpie
00B	Metapod
00C	Butterfree
00D	Weedle
00E	Kakuna
00F	Beedrill
010	Pidgey
011	Pidgeotto
012	Pidgeot
013	Rattata
014	Raticate
015	Spearow
016	Fearow
017	Ekans
018	Arbok
019	Pikachu
01A	Raichu
01B	Sandshrew
01C	Sandslash
01D	NidoranF
01E	Nidorina
01F	Nidoqueen
020	NidoranM
021	Nidorino
022	Nidoking
023	Clefairy
024	Clefable
025	Vulpix
026	Ninetales
027	Jigglypuff
028	Wigglytuff
029	Zubat
02A	Golbat
02B	Oddish
02C	Gloom
02D	Vileplume
02E	Paras
02F	Parasect
030	Venonat
031	Venomoth
032	Diglett
033	Dugtrio
034	Meowth
035	Persian
036	Psyduck
037	Golduck
038	Mankey
039	Primeape
03A	Growlithe
03B	Arcanine
03C	Poliwag
03D	Poliwhirl
03E	Poliwrath
03F	Abra
040	Kadabra
041	Alakazam
042	Machop
043	Machoke
044	Machamp
045	Bellsprout
046	Weepinbell
047	Victreebel
048	Tentacool
049	Tentacruel
04A	Geodude
04B	Graveler
04C	Golem
04D	Ponyta
04E	Rapidash
04F	Slowpoke
050	Slowbro
051	Magnemite
052	Magneton
053	Farfetch'd
054	Doduo
055	Dodrio
056	Seel
057	Dewgong
058	Grimer
059	Muk
05A	Shellder
05B	Cloyster
05C	Gastly
05D	Haunter
05E	Gengar
05F	Onix
060	Drowzee
061	Hypno
062	Krabby
063	Kingler
064	Voltorb
065	Electrode
066	Exeggcute
067	Exeggutor
068	Cubone
069	Marowak
06A	Hitmonlee
06B	Hitmonchan
06C	Lickitung
06D	Koffing
06E	Weezing
06F	Rhyhorn
070	Rhydon
071	Chansey
072	Tangela
073	Kangaskhan
074	Horsea
075	Seadra
076	Goldeen
077	Seaking
078	Staryu
079	Starmie
07A	Mr. Mime
07B	Scyther
07C	Jynx
07D	Electabuzz
07E	Magmar
07F	Pinsir
080	Tauros
081	Magikarp
082	Gyarados
083	Lapras
084	Ditto
085	Eevee
086	Vaporeon
087	Jolteon
088	Flareon
089	Porygon
08A	Omanyte
08B	Omastar
08C	Kabuto
08D	Kabutops
08E	Aerodactyl
08F	Snorlax
090	Articuno
091	Zapdos
092	Moltres
093	Dratini
094	Dragonair
095	Dragonite
096	Mewtwo
097	Mew
098	Chikorita
099	Bayleef
09A	Meganium
09B	Cyndaquil
09C	Quilava
09D	Typhlosion
09E	Totodile
09F	Croconaw
0A0	Feraligatr
0A1	Sentret
0A2	Furret
0A3	Hoothoot
0A4	Noctowl
0A5	Ledyba
0A6	Ledian
0A7	Spinarak
0A8	Ariados
0A9	Crobat
0AA	Chinchou
0AB	Lanturn
0AC	Pichu
0AD	Cleffa
0AE	Igglybuff
0AF	Togepi
0B0	Togetic
0B1	Natu
0B2	Xatu
0B3	Mareep
0B4	Flaaffy
0B5	Ampharos
0B6	Bellossom
0B7	Marill
0B8	Azumarill
0B9	Sudowoodo
0BA	Politoed
0BB	Hoppip
0BC	Skiploom
0BD	Jumpluff
0BE	Aipom
0BF	Sunkern
0C0	Sunflora
0C1	Yanma
0C2	Wooper
0C3	Quagsire
0C4	Espeon
0C5	Umbreon
0C6	Murkrow
0C7	Slowking
0C8	Misdreavus
0CA	Wobbuffet
0CB	Girafarig
0CC	Pineco
0CD	Forretress
0CE	Dunsparce
0CF	Gligar
0D0	Steelix
0D1	Snubbull
0D2	Granbull
0D3	Qwilfish
0D4	Scizor
0D5	Shuckle
0D6	Heracross
0D7	Sneasel
0D8	Teddiursa
0D9	Ursaring
0DA	Slugma
0DB	Magcargo
0DC	Swinub
0DD	Piloswine
0DE	Corsola
0DF	Remoraid
0E0	Octillery
0E1	Delibird
0E2	Mantine
0E3	Skarmory
0E4	Houndour
0E5	Houndoom
0E6	Kingdra
0E7	Phanpy
0E8	Donphan
0E9	Porygon2
0EA	Stantler
0EB	Smeargle
0EC	Tyrogue
0ED	Hitmontop
0EE	Smoochum
0EF	Elekid
0F0	Magby
0F1	Miltank
0F2	Blissey
0F3	Raikou
0F4	Entei
0F5	Suicune
0F6	Larvitar
0F7	Pupitar
0F8	Tyranitar
0F9	Lugia
0FA	Ho-Oh
0FB	Celebi
0FC	Treecko
0FD	Grovyle
0FE	Sceptile
0FF	Torchic
100	Combusken
101	Blaziken
102	Mudkip
103	Marshtomp
104	Swampert
105	Poochyena
106	Mightyena
107	Zigzagoon
108	Linoone
109	Wurmple
10A	Silcoon
10B	Beautifly
10C	Cascoon
10D	Dustox
10E	Lotad
10F	Lombre
110	Ludicolo
111	Seedot
112	Nuzleaf
113	Shiftry
114	Taillow
115	Swellow
116	Wingull
117	Pelipper
118	Ralts
119	Kirlia
11A	Gardevoir
11B	Surskit
11C	Masquerain
11D	Shroomish
11E	Breloom
11F	Slakoth
120	Vigoroth
121	Slaking
122	Nincada
123	Ninjask
124	Shedinja
125	Whismur
126	Loudred
127	Exploud
128	Makuhita
129	Hariyama
12A	Azurill
12B	Nosepass
12C	Skitty
12D	Delcatty
12E	Sableye
12F	Mawile
130	Aron
131	Lairon
132	Aggron
133	Meditite
134	Medicham
135	Electrike
136	Manectric
137	Plusle
138	Minun
139	Volbeat
13A	Illumise
13B	Roselia
13C	Gulpin
13D	Swalot
13E	Carvanha
13F	Sharpedo
140	Wailmer
141	Wailord
142	Numel
143	Camerupt
144	Torkoal
145	Spoink
146	Grumpig
147	Spinda
148	Trapinch
149	Vibrava
14A	Flygon
14B	Cacnea
14C	Cacturne
14D	Swablu
14E	Altaria
14F	Zangoose
150	Seviper
151	Lunatone
152	Solrock
153	Barboach
154	Whiscash
155	Corphish
156	Crawdaunt
157	Baltoy
158	Claydol
159	Lileep
15A	Cradily
15B	Anorith
15C	Armaldo
15D	Feebas
15E	Milotic
15F	Castform
160	Kecleon
161	Shuppet
162	Banette
163	Duskull
164	Dusclops
165	Tropius
166	Chimecho
167	Absol
168	Wynaut
169	Snorunt
16A	Glalie
16B	Spheal
16C	Sealeo
16D	Walrein
16E	Clamperl
16F	Huntail
170	Gorebyss
171	Relicanth
172	Luvdisc
173	Bagon
174	Shelgon
175	Salamence
176	Beldum
177	Metang
178	Metagross
179	Regirock
17A	Regice
17B	Registeel
17C	Latias
17D	Latios
17E	Kyogre
17F	Groudon
180	Rayquaza
181	Jirachi
183	Turtwig
184	Grotle
185	Torterra
186	Chimchar
187	Monferno
188	Infernape
189	Piplup
18A	Prinplup
18B	Empoleon
18C	Starly
18D	Staravia
18E	Staraptor
18F	Bidoof
190	Bibarel
191	Kricketot
192	Kricketune
193	Shinx
194	Luxio
195	Luxray
196	Budew
197	Roserade
198	Cranidos
199	Rampardos
19A	Shieldon
19B	Bastiodon
19E	Mothim
19F	Combee
1A0	Vespiquen
1A1	Pachirisu
1A2	Buizel
1A3	Floatzel
1A4	Cherubi
1A5	Cherrim
1A8	Ambipom
1A9	Drifloon
1AA	Drifblim
1AB	Buneary
1AC	Lopunny
1AD	Mismagius
1AE	Honchkrow
1AF	Glameow
1B0	Purugly
1B1	Chingling
1B2	Stunky
1B3	Skuntank
1B4	Bronzor
1B5	Bronzong
1B6	Bonsly
1B7	Mime Jr.
1B8	Happiny
1B9	Chatot
1BA	Spiritomb
1BB	Gible
1BC	Gabite
1BD	Garchomp
1BE	Munchlax
1BF	Riolu
1C0	Lucario
1C1	Hippopotas
1C2	Hippowdon
1C3	Skorupi
1C4	Drapion
1C5	Croagunk
1C6	Toxicroak
1C7	Carnivine
1C8	Finneon
1C9	Lumineon
1CA	Mantyke
1CB	Snover
1CC	Abomasnow
1CD	Weavile
1CE	Magnezone
1CF	Lickilicky
1D0	Rhyperior
1D1	Tangrowth
1D2	Electivire
1D3	Magmortar
1D4	Togekiss
1D5	Yanmega
1D6	Leafeon
1D7	Glaceon
1D8	Gliscor
1D9	Mamoswine
1DA	Porygon-Z
1DB	Gallade
1DC	Probopass
1DD	Dusknoir
1DE	Froslass
1DF	Rotom
1E0	Uxie
1E1	Mesprit
1E2	Azelf
1E3	Dialga
1E4	Palkia
1E5	Heatran
1E6	Regigigas
1E8	Cresselia
1E9	Phione
1EA	Manaphy
1EB	Darkrai
1ED	Arceus
0C9	Unown
182	Deoxys
19C	Burmy
19D	Wormadam
1A6	Shellos
1A7	Gastrodon
1E7	Giratina
1EC	Shaymin
1F0	Deoxys-A
1F1	Deoxys-D
1F2	Deoxys-S
1F3	Wormadam
1F4	Wormadam
1F5	Giratina
1F6	Shaymin-S
1F7	Heat Rotom
1F8	Fridge Rotom
1F9	Wash Rotom
1FA	Fan Rotom
1FB	Mow Rotom
